PREFIX, NUMBER, SAMPLE SIZE, 0.0 - 0.9, 1.0 - 1.9, 2.0 - 2.9, 3.0 - 4.0 
AFRAM,340,75,0.0,0.013333333333333334,0.2,0.7866666666666666
CEE,348,100,0.03,0.01,0.05,0.91
AFRAM,358,25,0.04,0.08,0.04,0.84
AFRAM,360,157,0.09554140127388536,0.03184713375796178,0.1592356687898089,0.7133757961783439
AFRAM,370,120,0.025,0.008333333333333333,0.075,0.8916666666666667
AFRAM,404,29,0.0,0.0,0.06896551724137931,0.9310344827586207
CEP,303,193,0.0,0.0,0.0051813471502590676,0.9948186528497409
CHEME,341,162,0.018518518518518517,0.006172839506172839,0.09876543209876543,0.8765432098765432
CLIT,320,104,0.04807692307692308,0.009615384615384616,0.038461538461538464,0.9038461538461539
CHEM,346,181,0.0055248618784530384,0.0,0.027624309392265192,0.9668508287292817
CHEM,242,4820,0.008091286307053943,0.024273858921161826,0.15186721991701244,0.8157676348547718
CHID,390,304,0.013157894736842105,0.013157894736842105,0.05592105263157895,0.9177631578947368
CHSTU,224,116,0.017241379310344827,0.02586206896551724,0.05172413793103448,0.9051724137931034
CHSTU,332,171,0.023391812865497075,0.017543859649122806,0.05263157894736842,0.9064327485380117
CHSTU,359,31,0.03225806451612903,0.0,0.16129032258064516,0.8064516129032258
CLAR,347,78,0.038461538461538464,0.0,0.0641025641025641,0.8974358974358975
CLAS,328,258,0.011627906976744186,0.007751937984496124,0.023255813953488372,0.9573643410852714
CMS,315,123,0.024390243902439025,0.0,0.056910569105691054,0.9186991869918699
COM,320,92,0.0,0.010869565217391304,0.09782608695652174,0.8913043478260869
COM,362,255,0.03137254901960784,0.050980392156862744,0.1411764705882353,0.7764705882352941
AFRAM,405,72,0.1388888888888889,0.013888888888888888,0.16666666666666666,0.6805555555555556
COM,378,86,0.0,0.011627906976744186,0.19767441860465115,0.7906976744186046
AFRAM,498,283,0.02120141342756184,0.053003533568904596,0.13074204946996468,0.7950530035335689
CSE,371,272,0.011029411764705883,0.0,0.06985294117647059,0.9191176470588235
CSE,374,1106,0.0352622061482821,0.020795660036166366,0.16636528028933092,0.7775768535262206
AFRAM,499,45,0.0,0.0,0.0,1.0
AIS,102,1019,0.02551521099116781,0.023552502453385672,0.10206084396467124,0.8488714425907753
CSE,373,4235,0.01936245572609209,0.014403778040141677,0.13034238488783945,0.8358913813459268
DANCE,111,75,0.02666666666666667,0.0,0.02666666666666667,0.9466666666666667
DANCE,210,64,0.0,0.0,0.0,1.0
DANCE,212,58,0.0,0.0,0.0,1.0
DANCE,225,105,0.0,0.0,0.009523809523809525,0.9904761904761905
DANCE,306,127,0.0,0.0,0.0,1.0
DANCE,336,60,0.0,0.0,0.06666666666666667,0.9333333333333333
AIS,202,206,0.02912621359223301,0.038834951456310676,0.0970873786407767,0.8349514563106796
DANCE,310,37,0.0,0.02702702702702703,0.0,0.972972972972973
DANCE,339,29,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.7931034482758621
DANCE,366,46,0.0,0.0,0.0,1.0
DANCE,305,111,0.0,0.0,0.0,1.0
AIS,203,211,0.014218009478672985,0.009478672985781991,0.018957345971563982,0.957345971563981
AIS,209,59,0.06779661016949153,0.03389830508474576,0.22033898305084745,0.6779661016949152
AIS,210,80,0.0625,0.0125,0.1375,0.7875
DANISH,202,32,0.03125,0.0,0.0,0.96875
DANISH,203,26,0.0,0.0,0.0,1.0
AIS,270,421,0.019002375296912115,0.007125890736342043,0.0688836104513064,0.9049881235154394
AIS,275,208,0.02403846153846154,0.014423076923076924,0.07211538461538461,0.8894230769230769
AIS,307,19,0.15789473684210525,0.0,0.10526315789473684,0.7368421052631579
DESIGN,319,125,0.0,0.008,0.008,0.984
AIS,308,19,0.0,0.0,0.2631578947368421,0.7368421052631579
DRAMA,302,180,0.022222222222222223,0.03333333333333333,0.1,0.8444444444444444
AIS,310,11,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5454545454545454
AIS,313,71,0.014084507042253521,0.028169014084507043,0.07042253521126761,0.8873239436619719
AIS,314,60,0.0,0.0,0.15,0.85
DRAMA,351,141,0.0,0.0,0.02127659574468085,0.9787234042553191
AIS,315,40,0.05,0.075,0.125,0.75
DXARTS,295,37,0.08108108108108109,0.05405405405405406,0.10810810810810811,0.7567567567567568
DESIGN,387,21,0.0,0.0,0.047619047619047616,0.9523809523809523
AIS,330,34,0.058823529411764705,0.029411764705882353,0.0,0.9117647058823529
AIS,331,15,0.2,0.0,0.26666666666666666,0.5333333333333333
DRAMA,352,83,0.0,0.0,0.0,1.0
AIS,335,346,0.02023121387283237,0.017341040462427744,0.07803468208092486,0.884393063583815
AIS,340,189,0.015873015873015872,0.005291005291005291,0.037037037037037035,0.9417989417989417
EE,242,371,0.0026954177897574125,0.008086253369272238,0.1752021563342318,0.8140161725067385
AIS,350,46,0.043478260869565216,0.0,0.043478260869565216,0.9130434782608695
DRAMA,353,70,0.0,0.0,0.0,1.0
DRAMA,371,208,0.009615384615384616,0.028846153846153848,0.125,0.8365384615384616
AIS,360,353,0.025495750708215296,0.0113314447592068,0.036827195467422094,0.9263456090651558
AIS,365,36,0.0,0.05555555555555555,0.05555555555555555,0.8888888888888888
AIS,375,188,0.02127659574468085,0.010638297872340425,0.06382978723404255,0.9042553191489362
ECFS,312,471,0.004246284501061571,0.0,0.010615711252653927,0.9851380042462845
AIS,377,79,0.0379746835443038,0.02531645569620253,0.0759493670886076,0.8607594936708861
AIS,378,53,0.05660377358490566,0.0,0.03773584905660377,0.9056603773584906
AIS,379,202,0.054455445544554455,0.039603960396039604,0.08415841584158416,0.8217821782178217
EDC&I,359,207,0.01932367149758454,0.004830917874396135,0.014492753623188406,0.961352657004831
ECE,323,125,0.024,0.008,0.04,0.928
EDPSY,305,123,0.04065040650406504,0.016260162601626018,0.056910569105691054,0.8861788617886179
ECON,300,3776,0.027277542372881356,0.029661016949152543,0.24046610169491525,0.7025953389830508
DRAMA,373,203,0.019704433497536946,0.024630541871921183,0.03940886699507389,0.916256157635468
ECON,382,1032,0.00872093023255814,0.011627906976744186,0.08236434108527131,0.8972868217054264
ECON,396,79,0.0,0.0,0.0,1.0
EDUC,170,967,0.022750775594622543,0.011375387797311272,0.055842812823164424,0.9100310237849017
DESIGN,316,104,0.0,0.0,0.0,1.0
