PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TCOM,350,180,0.03333333333333333,0.022222222222222223,0.06111111111111111,0.8833333333333333
TCOM,351,182,0.03296703296703297,0.027472527472527472,0.2032967032967033,0.7362637362637363
TCOM,380,202,0.039603960396039604,0.0891089108910891,0.2623762376237624,0.6089108910891089
TCOM,387,85,0.011764705882352941,0.023529411764705882,0.11764705882352941,0.8470588235294118
TCOM,420,71,0.028169014084507043,0.0,0.07042253521126761,0.9014084507042254
TCOM,430,17,0.0,0.0,0.29411764705882354,0.7058823529411765
TCOM,440,100,0.02,0.06,0.35,0.57
TCOM,444,583,0.06518010291595197,0.10634648370497427,0.27958833619210977,0.548885077186964
TCOM,453,121,0.05785123966942149,0.05785123966942149,0.12396694214876033,0.7603305785123967
TCOM,454,72,0.1388888888888889,0.2777777777777778,0.2361111111111111,0.3472222222222222
TCOM,460,74,0.13513513513513514,0.13513513513513514,0.2702702702702703,0.4594594594594595
TCOM,461,154,0.09740259740259741,0.05844155844155844,0.2857142857142857,0.5584415584415584
TCOM,465,119,0.17647058823529413,0.09243697478991597,0.226890756302521,0.5042016806722689
TCOM,470,36,0.05555555555555555,0.0,0.08333333333333333,0.8611111111111112
TCOM,471,35,0.08571428571428572,0.0,0.08571428571428572,0.8285714285714286
TCOM,480,149,0.0738255033557047,0.04697986577181208,0.2080536912751678,0.6711409395973155
TCOM,481,128,0.1171875,0.0703125,0.234375,0.578125
TCOM,482,26,0.038461538461538464,0.0,0.38461538461538464,0.5769230769230769
TCOM,486,33,0.09090909090909091,0.12121212121212122,0.21212121212121213,0.5757575757575758
TCOM,499,54,0.09259259259259259,0.09259259259259259,0.2222222222222222,0.5925925925925926
TCSS,101,899,0.04671857619577308,0.048943270300333706,0.14238042269187987,0.7619577308120133
TCSS,141,255,0.16470588235294117,0.03529411764705882,0.18823529411764706,0.611764705882353
TCSS,142,1345,0.11821561338289963,0.11301115241635688,0.22379182156133828,0.5449814126394052
TCSS,143,1113,0.12668463611859837,0.0889487870619946,0.2560646900269542,0.5283018867924528
TCSS,305,1395,0.05591397849462366,0.03369175627240143,0.17491039426523297,0.7354838709677419
TCSS,321,1584,0.06628787878787878,0.10858585858585859,0.25,0.5751262626262627
TCSS,322,60,0.05,0.05,0.2,0.7
TCSS,325,1814,0.020396912899669238,0.009922822491730982,0.08875413450937156,0.8809261300992283
TCSS,333,677,0.09010339734121123,0.06499261447562776,0.30428360413589367,0.5406203840472673
TCSS,342,1394,0.06527977044476327,0.04160688665710186,0.19655667144906744,0.6965566714490674
TCSS,343,1276,0.0219435736677116,0.048589341692789965,0.22884012539184953,0.700626959247649
TCSS,360,1234,0.009724473257698542,0.008103727714748784,0.08103727714748785,0.9011345218800648
TCSS,371,1258,0.029411764705882353,0.02782193958664547,0.20111287758346583,0.7416534181240063
TCSS,372,951,0.031545741324921134,0.004206098843322818,0.15772870662460567,0.8065194532071503
TCSS,380,703,0.02418207681365576,0.025604551920341393,0.17496443812233287,0.7752489331436699
TCSS,421,91,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.9560439560439561
TCSS,422,916,0.025109170305676855,0.010917030567685589,0.11790393013100436,0.8460698689956332
TCSS,430,135,0.007407407407407408,0.014814814814814815,0.037037037037037035,0.9407407407407408
TCSS,431,281,0.0071174377224199285,0.0,0.05693950177935943,0.9359430604982206
TCSS,435,492,0.06097560975609756,0.024390243902439025,0.24796747967479674,0.6666666666666666
TCSS,437,87,0.011494252873563218,0.0,0.0,0.9885057471264368
